,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,id_geography,id_gender,previsoes
48,697.0,42.0,1.0,0.0,1.0,1.0,0.0,1262.83,0.0,0.0,1
52,709.0,46.0,4.0,94214.80973236839,1.0,0.0,0.0,70945.2873261263,2.0,0.0,1
54,690.0,49.0,5.0,0.0,1.0,1.0,0.0,91639.75855666056,0.0,0.0,1
55,590.0,41.0,3.0000000000000004,134744.1993805857,1.0,1.0,0.0,31720.08023269848,2.0,0.0,1
57,784.0,54.0,0.0,133374.88282495123,1.0,0.0,0.0,23122.0106667781,1.0,0.0,1
59,580.0,29.0,3.0000000000000004,128990.90983688598,1.0,0.0,0.0,149549.75268013324,0.0,0.0,1
62,689.0,54.0,1.0,133383.88176616657,3.0,0.0,0.0,28338.823244930518,2.0,0.0,1
63,626.0,40.0,4.0,124591.4872663568,1.0,1.0,0.0,93010.18237323732,1.0,0.0,1
64,556.0,46.0,10.0,0.0,2.0,0.0,0.0,109184.24,0.0,0.0,1
65,565.0,36.0,1.0,108983.76114381803,2.0,0.0,0.0,109442.0132136651,1.0,1.0,1
72,707.0,32.0,4.0,132835.56,1.0,0.0,0.0,136877.24,1.0,0.0,1
75,567.0,36.0,6.000000000000001,117679.53241513354,2.0,0.0,0.0,95204.21381572343,0.0,0.0,1
76,587.0,51.0,8.0,90505.47872598801,1.0,0.0,0.0,28054.4757075998,1.0,0.0,1
77,551.0,42.0,2.0,139561.46,1.0,1.0,0.0,43435.43,0.0,1.0,1
78,796.0,56.0,6.000000000000001,94231.13,1.0,0.0,0.0,121164.6,1.0,1.0,1
79,703.0,50.0,7.0,94772.13960654345,1.0,0.0,0.0,70823.6078976432,2.0,0.0,1
80,834.0,57.0,8.0,112281.59999999999,3.0,1.0,0.0,140225.14,2.0,0.0,1
81,705.0,44.0,10.0,106731.58,1.0,1.0,0.0,137419.87,2.0,0.0,1
85,679.0,45.0,3.0000000000000004,146758.24,1.0,1.0,0.0,48466.89,0.0,1.0,1
86,517.0,51.0,1.0,117018.38113021455,1.0,0.0,0.0,75258.6846198395,2.0,0.0,1
87,518.0,50.0,4.0,0.0,1.0,0.0,0.0,107112.25000000001,1.0,1.0,1
88,544.0,53.0,9.0,0.0,1.0,1.0,0.0,125692.06999999999,1.0,0.0,1
91,544.0,62.0,7.0,69078.74621274052,1.0,0.0,0.0,78380.17553069766,0.0,1.0,1
93,616.0,44.0,5.0,102016.38,1.0,0.0,1.0,178235.37,0.0,1.0,1
94,598.0,60.0,4.0,0.0,1.0,1.0,0.0,197727.14,0.0,1.0,1
95,474.0,48.0,3.0000000000000004,133961.7469900225,1.0,1.0,0.0,19453.409275383863,1.0,0.0,1
96,747.0,41.0,9.0,0.0,1.0,1.0,0.0,32430.939999999995,1.0,1.0,1
99,575.0,52.0,4.0,0.0,1.0,0.0,0.0,30742.53214696498,1.0,0.0,1
100,554.0,49.0,7.0,121518.62693405402,1.0,1.0,0.0,46738.19559975547,1.0,0.0,1
101,565.0,33.0,2.0,145148.68497661848,1.0,1.0,0.0,58384.37971354753,1.0,1.0,1
103,677.0,42.0,5.0,99580.13,1.0,1.0,0.0,21007.96,0.0,1.0,1
106,583.0,27.0,4.0,0.0,3.0,1.0,0.0,163113.41,0.0,0.0,1
107,536.0,46.0,1.0,65733.41,1.0,1.0,0.0,61094.530000000006,0.0,1.0,1
109,601.0,46.0,5.0,0.0,1.0,1.0,0.0,100547.80090135985,0.0,0.0,1
113,747.0,44.0,1.0,89277.23080592553,1.0,0.0,0.0,87448.00594463118,1.0,0.0,1
114,553.0,49.0,5.0,94686.40772134064,1.0,0.0,0.0,139630.6240819349,1.0,0.0,1
115,722.0,50.0,4.0,132088.59,1.0,1.0,1.0,128262.14,1.0,0.0,1
116,560.0,43.0,7.0,0.0,2.0,0.0,0.0,125436.50759154386,0.0,0.0,1
117,585.0,49.0,3.0000000000000004,121232.43921768277,1.0,0.0,0.0,4236.477900886402,0.0,1.0,1
119,605.0,43.0,8.0,125338.79999999999,2.0,1.0,0.0,23970.13,2.0,0.0,1
120,551.0,50.0,6.000000000000001,127492.62981602282,2.0,0.0,0.0,79220.41056567701,1.0,1.0,1
122,593.0,38.0,4.0,129499.42,1.0,1.0,1.0,154071.27,2.0,0.0,1
123,557.0,38.0,2.0,129893.55999999998,1.0,0.0,0.0,102076.03,2.0,0.0,1
131,534.0,51.0,5.0,127700.44974134905,1.0,1.0,0.0,139645.25481756838,2.0,0.0,1
133,666.0,36.0,3.0000000000000004,98023.05554549056,1.0,1.0,0.0,96542.75508914154,0.0,0.0,1
134,673.0,50.0,1.0,157884.01467706528,1.0,1.0,0.0,99959.37403448997,1.0,0.0,1
135,494.0,38.0,5.0,97044.11384899345,1.0,0.0,0.0,117222.99650613069,0.0,0.0,1
136,644.0,35.0,5.0,161591.11,3.0,1.0,1.0,63795.62,2.0,1.0,1
137,683.0,42.0,4.0,148283.94,1.0,1.0,1.0,44692.63,0.0,0.0,1
138,783.0,42.0,2.0,139707.28,1.0,1.0,0.0,2150.22,2.0,0.0,1
139,703.0,56.0,9.0,0.0,1.0,0.0,0.0,85547.33,0.0,1.0,1
140,737.0,37.0,8.0,108133.08369167145,1.0,1.0,0.0,41717.8954181733,2.0,1.0,1
142,625.0,43.0,5.0,96191.92185157037,1.0,0.0,0.0,114911.00831859333,2.0,0.0,1
143,581.0,38.0,5.0,117847.58560294144,2.0,0.0,0.0,5828.229524005901,1.0,0.0,1
144,626.0,62.0,7.0,0.0,1.0,0.0,0.0,13189.4217718689,0.0,0.0,1
145,576.0,46.0,3.0000000000000004,130953.20325426002,1.0,1.0,0.0,108570.9526414529,1.0,0.0,1
146,513.0,43.0,2.0,0.0,1.0,0.0,0.0,197692.84019731302,0.0,0.0,1
150,736.0,37.0,3.0000000000000004,0.0,1.0,0.0,0.0,27965.768335115386,1.0,0.0,1
151,692.0,29.0,4.0,0.0,1.0,1.0,0.0,76755.99,0.0,1.0,1
154,757.0,41.0,6.000000000000001,100310.24477605081,1.0,1.0,0.0,33620.746968616855,2.0,1.0,1
155,562.0,54.0,2.0,122194.11601385557,1.0,0.0,1.0,121931.7288838527,0.0,0.0,1
158,688.0,41.0,7.0,102577.1129069063,1.0,1.0,0.0,171124.72840175216,2.0,0.0,1
159,636.0,44.0,3.0000000000000004,125737.7303129936,1.0,1.0,0.0,56330.743882468,0.0,0.0,1
160,636.0,45.0,7.0,139859.23,1.0,1.0,1.0,108402.54,0.0,0.0,1
161,641.0,42.0,2.0,111736.27920863568,1.0,0.0,0.0,11578.469433036405,1.0,0.0,1
162,603.0,40.0,8.0,148897.02,1.0,0.0,0.0,105052.9,2.0,0.0,1
163,734.0,43.0,7.0,107805.67,1.0,0.0,0.0,182505.68,0.0,1.0,1
166,731.0,34.0,3.0000000000000004,102369.99986542584,1.0,1.0,0.0,64530.90634772081,2.0,1.0,1
169,659.0,49.0,1.0,0.0,1.0,1.0,0.0,116249.72,0.0,0.0,1
171,650.0,52.0,4.0,0.0,1.0,1.0,0.0,34270.43888089257,0.0,1.0,1
172,535.0,44.0,2.0,114427.86,1.0,1.0,1.0,136330.26,0.0,0.0,1
173,561.0,65.0,8.0,0.0,1.0,1.0,0.0,110411.89476885069,0.0,1.0,1
175,668.0,42.0,3.0000000000000004,150461.07,1.0,1.0,0.0,108139.23,0.0,1.0,1
176,580.0,40.0,3.0000000000000004,110633.16600163955,1.0,0.0,0.0,191615.84674113855,1.0,0.0,1
177,725.0,31.0,6.000000000000001,0.0,1.0,0.0,0.0,61326.43,0.0,0.0,1
178,660.0,41.0,6.000000000000001,146480.6692228273,1.0,1.0,0.0,65394.64026790965,2.0,0.0,1
179,656.0,57.0,2.0,91963.16359041253,1.0,1.0,0.0,163842.0147827414,0.0,0.0,1
182,804.0,40.0,9.0,74385.77462026832,1.0,0.0,0.0,140613.28913752086,0.0,0.0,1
184,812.0,49.0,8.0,66079.45,2.0,0.0,0.0,91556.57,1.0,0.0,1
186,659.0,32.0,2.0,155584.21,1.0,0.0,1.0,153662.88,0.0,0.0,1
187,607.0,55.0,9.0,129130.53643228757,2.0,1.0,0.0,142246.04682871836,0.0,0.0,1
190,715.0,46.0,1.0,106640.21870174978,1.0,1.0,0.0,115136.01723783162,2.0,0.0,1
192,735.0,42.0,5.0,168949.0000566546,1.0,0.0,0.0,130508.68408988486,0.0,0.0,1
195,575.0,46.0,5.0,122265.16828704289,1.0,0.0,1.0,3389.1305956518318,0.0,1.0,1
196,678.0,59.0,8.0,185589.0400093614,1.0,0.0,0.0,192096.4509767121,0.0,0.0,1
198,572.0,30.0,1.0,116025.82280336242,1.0,0.0,0.0,112550.34737359978,2.0,0.0,1
199,582.0,45.0,2.0,0.0,1.0,0.0,0.0,83741.90280260587,1.0,0.0,1
201,602.0,56.0,3.0000000000000004,115895.22,3.0,1.0,0.0,4176.17,0.0,0.0,1
203,669.0,35.0,6.000000000000001,0.0,1.0,0.0,0.0,2572.3818602797164,0.0,0.0,1
205,645.0,43.0,5.0,83220.12066886385,1.0,1.0,0.0,181564.27516670956,0.0,1.0,1
206,715.0,52.0,7.0,0.0,1.0,0.0,0.0,119026.35995547277,1.0,0.0,1
207,603.0,59.0,1.0,124707.7767559152,1.0,0.0,0.0,90302.97621540797,1.0,0.0,1
212,642.0,48.0,9.0,118317.27000000002,4.0,0.0,0.0,78702.98,0.0,1.0,1
213,677.0,56.0,0.0,119963.45,1.0,0.0,0.0,158325.87,0.0,0.0,1
214,648.0,45.0,5.0,118886.55,1.0,0.0,0.0,51636.69999999999,2.0,0.0,1
216,652.0,53.0,7.0,60184.42119679572,1.0,0.0,0.0,171159.48238154894,0.0,0.0,1
218,640.0,35.0,2.0,163469.42473682624,3.0,1.0,0.0,30863.943799889235,2.0,0.0,1
219,686.0,47.0,5.0,113328.93,1.0,1.0,0.0,124170.90000000001,0.0,0.0,1
220,502.0,57.0,3.0000000000000004,101465.31,1.0,1.0,0.0,43568.31,2.0,0.0,1
223,576.0,47.0,1.0,122932.42205475156,1.0,0.0,0.0,180292.64918886535,0.0,0.0,1
225,739.0,46.0,4.0,177408.81005578558,1.0,0.0,0.0,50363.62231027511,0.0,0.0,1
227,618.0,43.0,5.0,111704.02944229134,1.0,0.0,0.0,49962.20053537219,1.0,0.0,1
229,643.0,39.0,5.0,167761.20073236327,1.0,0.0,0.0,177019.24902632463,0.0,0.0,1
230,554.0,54.0,2.0,68996.58453364045,1.0,1.0,0.0,8094.437345157924,0.0,0.0,1
235,574.0,53.0,7.0,106733.24381039431,1.0,1.0,0.0,94055.09839972605,2.0,1.0,1
237,678.0,54.0,1.0,123699.28,2.0,0.0,1.0,105221.76000000001,2.0,0.0,1
241,636.0,50.0,8.0,110575.12080140015,1.0,0.0,0.0,1648.5614362949368,2.0,0.0,1
243,613.0,38.0,8.0,67661.82889420335,1.0,1.0,1.0,67348.1625932468,0.0,1.0,1
244,614.0,41.0,2.0,152804.032016975,1.0,0.0,0.0,2412.203981368531,1.0,0.0,1
247,549.0,39.0,7.0,0.0,1.0,0.0,0.0,81259.25,1.0,0.0,1
248,571.0,42.0,7.0,107955.0312558316,1.0,1.0,0.0,127856.07925340233,0.0,0.0,1
250,603.0,35.0,1.0,123407.69000000002,1.0,1.0,0.0,152541.89,2.0,1.0,1
251,610.0,45.0,6.000000000000001,106506.0156790939,1.0,0.0,0.0,155724.13770080288,0.0,0.0,1
257,742.0,49.0,7.0,121264.47880322329,1.0,1.0,0.0,34174.46798199201,0.0,0.0,1
261,538.0,49.0,9.0,141434.04,1.0,0.0,0.0,173779.25,1.0,0.0,1
263,609.0,37.0,2.0,121910.27575061211,1.0,0.0,0.0,64343.86655622972,1.0,0.0,1
264,792.0,58.0,8.0,101573.470764684,1.0,0.0,0.0,161405.0385677125,1.0,0.0,1
265,636.0,52.0,4.0,111284.53,1.0,0.0,1.0,32936.44,1.0,1.0,1
266,569.0,60.0,2.0,124138.03552947291,1.0,1.0,0.0,112209.67546811186,0.0,0.0,1
267,584.0,58.0,8.0,118371.94678462637,1.0,0.0,0.0,59862.77413074186,1.0,1.0,1
269,650.0,45.0,9.0,152367.21,3.0,1.0,0.0,150835.21,2.0,0.0,1
270,694.0,43.0,2.0,112644.300718575,1.0,1.0,0.0,73538.16799422144,1.0,0.0,1
273,541.0,52.0,5.0,127702.79389946738,1.0,1.0,0.0,139627.14487809702,2.0,0.0,1
275,748.0,45.0,4.0,73477.29995583286,1.0,1.0,0.0,92900.17650572701,1.0,0.0,1
276,545.0,44.0,2.0,127536.44,1.0,1.0,0.0,108398.62999999999,2.0,0.0,1
278,722.0,50.0,8.0,110233.66985904367,1.0,0.0,0.0,97009.74900509435,0.0,0.0,1
279,643.0,36.0,8.0,109944.18515003657,1.0,0.0,0.0,127629.22537791658,2.0,1.0,1
280,546.0,55.0,4.0,106972.51292784102,3.0,0.0,0.0,128398.98815493364,2.0,0.0,1
281,524.0,40.0,1.0,0.0,2.0,0.0,0.0,171128.00266374415,0.0,0.0,1
282,697.0,55.0,8.0,0.0,1.0,0.0,0.0,85543.79995826208,0.0,1.0,1
285,597.0,40.0,3.0000000000000004,112559.95131588838,1.0,0.0,0.0,50663.51727374195,2.0,0.0,1
290,616.0,32.0,1.0,0.0,1.0,1.0,0.0,170866.7898829548,0.0,1.0,1
291,567.0,41.0,0.0,134378.89,1.0,1.0,1.0,105746.94,2.0,1.0,1
293,616.0,54.0,6.000000000000001,118880.82876853758,1.0,1.0,0.0,94826.06164170054,0.0,1.0,1
296,461.0,51.0,9.0,119889.83999999998,1.0,0.0,0.0,56767.66999999999,0.0,1.0,1
297,531.0,47.0,6.000000000000001,0.0,1.0,0.0,0.0,194998.34,0.0,0.0,1
298,647.0,49.0,0.0,104153.73109376627,1.0,1.0,0.0,181757.76731128249,0.0,0.0,1
302,610.0,54.0,3.0000000000000004,136288.76156543946,1.0,0.0,1.0,67041.9298585609,0.0,0.0,1
303,692.0,36.0,3.0000000000000004,79551.12,1.0,0.0,1.0,178267.07,0.0,0.0,1
310,430.0,49.0,3.0000000000000004,137115.16,1.0,1.0,0.0,146516.86,2.0,1.0,1
312,736.0,42.0,7.0,117280.23,3.0,0.0,0.0,41921.06,0.0,0.0,1
316,545.0,53.0,5.0,114421.54999999999,1.0,1.0,0.0,180598.28,2.0,1.0,1
317,660.0,42.0,4.0,132079.5833248132,1.0,0.0,0.0,101306.49462418458,0.0,1.0,1
319,724.0,58.0,3.0000000000000004,0.0,1.0,0.0,0.0,163330.34167099098,0.0,0.0,1
320,620.0,57.0,3.0000000000000004,119086.32034716218,1.0,1.0,0.0,35171.06892463585,1.0,0.0,1
322,691.0,56.0,4.0,0.0,1.0,1.0,0.0,136654.8517556551,0.0,0.0,1
324,668.0,28.0,1.0,124511.01,1.0,0.0,0.0,114258.18,2.0,0.0,1
325,601.0,57.0,3.0000000000000004,0.0,1.0,0.0,0.0,176450.95743940354,0.0,1.0,1
327,528.0,38.0,9.0,118624.56727392408,2.0,1.0,0.0,119093.40130218519,2.0,1.0,1
328,654.0,50.0,2.0,0.0,1.0,0.0,0.0,173994.81628197702,0.0,0.0,1
331,647.0,46.0,8.0,105830.03481169074,1.0,1.0,0.0,165775.11218179273,0.0,0.0,1
332,702.0,43.0,6.000000000000001,126253.65103833859,1.0,1.0,0.0,123153.05820658368,2.0,0.0,1
333,703.0,39.0,1.0,124639.40586858586,1.0,1.0,0.0,116511.43672936667,2.0,0.0,1
334,634.0,47.0,5.0,101787.68511011508,1.0,0.0,0.0,178022.66481722755,0.0,0.0,1
335,583.0,50.0,7.0,107131.98171634813,1.0,1.0,0.0,63321.84261612005,1.0,0.0,1
336,721.0,37.0,8.0,101348.4648928344,1.0,0.0,0.0,25694.275315500592,0.0,0.0,1
337,566.0,31.0,5.0,122765.43267799473,1.0,0.0,0.0,164161.59143443892,0.0,1.0,1
338,643.0,42.0,2.0,122585.41073618508,1.0,0.0,0.0,112523.18970564904,1.0,0.0,1
339,659.0,42.0,2.0,113761.82141029635,1.0,0.0,0.0,190214.94430884015,0.0,0.0,1
340,671.0,42.0,1.0,102877.6276300284,1.0,1.0,0.0,32623.43734316712,2.0,1.0,1
343,677.0,44.0,5.0,115598.88340050029,1.0,0.0,0.0,75115.77692708907,2.0,0.0,1
346,575.0,37.0,2.0,115946.48141281446,1.0,0.0,0.0,111995.09042687668,2.0,0.0,1
348,804.0,43.0,1.0,105728.40312703358,2.0,1.0,0.0,34906.155296688295,0.0,0.0,1
349,751.0,47.0,5.0,142669.93,2.0,1.0,0.0,162760.96,0.0,1.0,1
350,616.0,37.0,3.0000000000000004,134061.76996718821,1.0,0.0,0.0,49038.474840934614,0.0,0.0,1
351,609.0,47.0,3.0000000000000004,133803.7856365044,2.0,1.0,0.0,85982.07278888019,1.0,0.0,1
352,530.0,42.0,0.0,99948.45000000001,1.0,0.0,1.0,97338.62,2.0,0.0,1
353,550.0,47.0,7.0,0.0,2.0,0.0,0.0,125396.62271665847,0.0,0.0,1
356,655.0,49.0,5.0,66772.68852008195,1.0,0.0,0.0,128777.92973005224,0.0,0.0,1
360,742.0,43.0,6.000000000000001,97067.69,1.0,0.0,1.0,60920.030000000006,2.0,0.0,1
364,687.0,35.0,6.000000000000001,128271.44575806765,3.0,0.0,0.0,184516.23117591924,0.0,0.0,1
366,752.0,37.0,5.0,108608.49760328926,1.0,1.0,0.0,166780.2921222869,2.0,0.0,1
367,850.0,61.0,1.0,0.0,1.0,1.0,0.0,53067.83,0.0,1.0,1
370,654.0,40.0,5.0,105683.63,1.0,1.0,0.0,173617.09,1.0,1.0,1
371,850.0,55.0,0.0,98710.89,1.0,1.0,1.0,83617.17,2.0,1.0,1
372,646.0,33.0,2.0,0.0,1.0,1.0,0.0,170781.78216148776,0.0,1.0,1
375,648.0,43.0,7.0,81153.82,1.0,1.0,1.0,144532.85,1.0,0.0,1
376,676.0,44.0,6.000000000000001,0.0,1.0,1.0,0.0,20449.953871060072,0.0,0.0,1
379,766.0,62.0,7.0,142724.48,1.0,0.0,1.0,5893.23,2.0,0.0,1
381,697.0,46.0,3.0000000000000004,168318.94312426017,1.0,0.0,0.0,140398.01548945607,0.0,0.0,1
389,581.0,52.0,2.0,0.0,1.0,1.0,0.0,114532.17693661326,0.0,1.0,1
391,609.0,31.0,4.0,106871.6956174157,1.0,1.0,0.0,18212.55782752728,2.0,0.0,1
395,529.0,44.0,7.0,128033.44478320862,1.0,0.0,0.0,149022.74949816085,2.0,0.0,1
396,675.0,49.0,3.0000000000000004,104597.59834037661,1.0,1.0,0.0,181085.51356191756,0.0,0.0,1
398,580.0,51.0,2.0,108900.42840578478,1.0,0.0,0.0,140827.06350483221,1.0,0.0,1
399,692.0,44.0,8.0,0.0,1.0,0.0,1.0,159069.37,1.0,0.0,1
401,718.0,29.0,5.0,188217.98322839837,1.0,0.0,0.0,112154.75810564395,0.0,0.0,1
403,815.0,39.0,8.0,133076.19734259995,1.0,1.0,0.0,27015.178189960992,0.0,0.0,1
404,667.0,38.0,4.0,138553.58735132913,1.0,1.0,0.0,101895.11451307403,0.0,0.0,1
407,778.0,38.0,1.0,0.0,1.0,1.0,0.0,134992.76669649675,0.0,0.0,1
409,663.0,40.0,0.0,121096.21921614515,1.0,0.0,0.0,27527.08044720654,2.0,0.0,1
411,719.0,47.0,9.0,116393.59,1.0,1.0,0.0,63051.32000000001,1.0,0.0,1
412,833.0,59.0,1.0,130854.58999999998,1.0,1.0,1.0,30722.52,2.0,1.0,1
418,578.0,61.0,6.000000000000001,132539.9610351049,1.0,0.0,0.0,168845.08640940112,1.0,0.0,1
419,582.0,46.0,5.0,60869.61391801228,1.0,0.0,0.0,167870.68095023633,0.0,0.0,1
421,697.0,40.0,7.0,130334.35000000002,2.0,0.0,1.0,116951.09999999999,1.0,0.0,1
422,716.0,52.0,7.0,65971.61,2.0,1.0,0.0,14608.0,0.0,0.0,1
423,660.0,40.0,1.0,129819.7405563737,1.0,1.0,0.0,26027.675135995516,2.0,1.0,1
424,617.0,35.0,0.0,108794.37603479894,2.0,0.0,0.0,110587.9292501696,1.0,0.0,1
427,595.0,45.0,3.0000000000000004,153461.7679089074,1.0,0.0,1.0,162265.6629633314,1.0,0.0,1
428,680.0,40.0,4.0,114052.16359320213,1.0,0.0,0.0,96644.1786608388,1.0,0.0,1
430,645.0,55.0,1.0,133676.65,1.0,0.0,1.0,17095.49,1.0,0.0,1
431,559.0,39.0,2.0,127407.40719713773,1.0,0.0,0.0,147627.12892195044,2.0,0.0,1
432,594.0,55.0,7.0,153281.8596225028,1.0,1.0,0.0,134609.18628916453,0.0,1.0,1
433,608.0,45.0,3.0000000000000004,146317.81043017795,1.0,1.0,0.0,197522.97052242167,1.0,1.0,1
434,500.0,56.0,1.0,100374.57999999999,1.0,1.0,0.0,118490.79999999999,0.0,1.0,1
436,605.0,36.0,1.0,155592.02186670073,1.0,1.0,0.0,192290.94501047814,0.0,0.0,1
437,547.0,47.0,1.0,100807.30861734171,1.0,0.0,0.0,33258.302094608436,1.0,1.0,1
439,584.0,37.0,10.0,134171.8,4.0,1.0,1.0,70927.11,2.0,0.0,1
440,577.0,31.0,9.0,176130.20607000522,1.0,1.0,0.0,97191.47778546333,0.0,0.0,1
441,596.0,64.0,4.0,86648.0178142482,2.0,0.0,0.0,192135.70684151613,2.0,0.0,1
442,760.0,39.0,6.000000000000001,178585.46,1.0,1.0,0.0,67131.3,0.0,1.0,1
443,666.0,40.0,3.0000000000000004,145435.37407764854,1.0,1.0,1.0,142201.80623517642,0.0,0.0,1
445,651.0,50.0,7.0,125495.94948021289,1.0,0.0,1.0,17171.348117944843,2.0,1.0,1
446,637.0,45.0,3.0000000000000004,0.0,1.0,1.0,0.0,184474.22533908987,0.0,0.0,1
447,615.0,61.0,9.0,0.0,2.0,1.0,0.0,150227.85,1.0,1.0,1
448,587.0,41.0,8.0,181773.75555635183,1.0,1.0,0.0,95307.42028516275,0.0,0.0,1
449,650.0,46.0,5.0,0.0,2.0,1.0,0.0,191707.0350493609,0.0,0.0,1
451,631.0,39.0,1.0,102695.35514060958,1.0,1.0,0.0,558.0141840254546,1.0,0.0,1
452,703.0,38.0,9.0,99167.54,1.0,1.0,0.0,65720.92,2.0,0.0,1
453,685.0,55.0,2.0,173721.78838444027,1.0,1.0,0.0,102026.77697050932,1.0,0.0,1
454,637.0,54.0,5.0,0.0,1.0,0.0,1.0,150836.98,1.0,0.0,1
457,602.0,56.0,7.0,118505.51160899136,1.0,0.0,0.0,6068.900258308943,1.0,0.0,1
459,629.0,49.0,4.0,124588.92974907575,1.0,1.0,0.0,92009.38657517123,0.0,0.0,1
460,683.0,43.0,4.0,115888.04,1.0,1.0,1.0,117349.18999999999,2.0,0.0,1
461,573.0,47.0,5.0,80967.61174761275,2.0,0.0,0.0,60563.949731337896,1.0,0.0,1
462,750.0,40.0,5.0,168286.81,3.0,1.0,0.0,20451.99,2.0,1.0,1
464,596.0,37.0,7.0,0.0,1.0,1.0,0.0,100110.44476095427,0.0,0.0,1
467,691.0,43.0,0.0,184461.62834670173,1.0,1.0,0.0,68596.61396815084,0.0,0.0,1
468,581.0,34.0,7.0,0.0,1.0,1.0,1.0,55861.64009036366,0.0,1.0,1
472,445.0,61.0,2.0,137655.31,1.0,0.0,1.0,29909.84,2.0,0.0,1
475,742.0,60.0,4.0,0.0,1.0,1.0,1.0,13161.66,0.0,0.0,1
477,731.0,38.0,8.0,141237.2981346837,1.0,1.0,0.0,91861.96786161668,0.0,0.0,1
479,516.0,47.0,9.0,128298.74,1.0,0.0,0.0,149614.17,2.0,0.0,1
480,628.0,31.0,3.0000000000000004,135838.50728853187,1.0,0.0,0.0,51383.545674238994,0.0,1.0,1
481,738.0,47.0,4.0,139733.93180519744,3.0,0.0,0.0,129784.66716378558,0.0,0.0,1
482,644.0,41.0,6.000000000000001,114444.20319264506,1.0,1.0,1.0,106560.57276028488,2.0,0.0,1
483,602.0,38.0,8.0,140225.08023265627,2.0,1.0,0.0,171747.36000421352,0.0,0.0,1
484,551.0,36.0,5.0,0.0,1.0,1.0,0.0,183479.12,0.0,0.0,1
485,650.0,48.0,9.0,0.0,3.0,0.0,0.0,179205.26291177163,0.0,0.0,1
486,789.0,37.0,7.0,121885.82896188578,1.0,0.0,0.0,198965.2308921894,1.0,1.0,1
487,547.0,46.0,7.0,0.0,2.0,0.0,0.0,62347.817349540775,0.0,0.0,1
488,762.0,35.0,1.0,117458.51,1.0,0.0,1.0,178361.48,2.0,1.0,1
489,737.0,43.0,0.0,80090.93,1.0,1.0,0.0,39920.0,0.0,1.0,1
491,664.0,41.0,5.0,0.0,1.0,1.0,1.0,152054.33,0.0,0.0,1
493,692.0,29.0,2.0,132992.38520410247,1.0,1.0,0.0,55096.03193616343,0.0,1.0,1
494,707.0,31.0,2.0,82787.93,2.0,0.0,0.0,91423.69,0.0,0.0,1
495,673.0,43.0,5.0,168069.73,1.0,1.0,1.0,146992.24,0.0,0.0,1
496,653.0,45.0,6.000000000000001,145686.38501191713,1.0,0.0,0.0,14357.596993621568,0.0,0.0,1
